"	Description	Commenting	Ogling/Facial Expressions/Staring	Touching /Groping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3192	boys stand outside our school and stare and pass lewd comments at us. this happens almost everyday. my school is in hastsal.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3193	an old man held my wrist forcibly and tried forcing himself on me. I ran away. this happened in the evening at balaji chowk.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3194	4 year old girl playing in the temple with her friends and after some time she disappeared and after 2 hours she got  raped.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3195	i was groped by a man on my way back home from balaji chowk in the evening"," i do not know who he was. he ran away after that	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3196	I heard this incident and I don't know if this is true or not. I heard that one of the old lady got raped by young teen boy.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3197	I witnessed an incident when a chain was being snatched from a lady by two boys on a bike . It happened during night hours .	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3198	A fourteen year old boy has been sodomising his eleven years old brother they share bed with without their parents knowledge	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3199	a boy kept coming to the street where my house is. he would sing sexually suggestive songs and whistle whenever i passed him	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3200	while I was returning back from my college"," I found a group of boys teasing and singing to every girls passing by that side.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3201	there is a place where is the wine works are done and sonme people are drinking.there are so many people mentally disbehaved	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3202	When a friend was with me"," there was this guy who was continuously whistling and commenting while we were waiting for a bus.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3203	This area is really very badly monitored area with 90 percent of rural population.These crimes are very often in this area .	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3204	There is very poor lighting in this area.Therefore at night it become very difficult for the girls to go out of their house.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3205	That day me and my friends were returning from my friend's home and some boys chased us and asked our name and phone number.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3206	my mother sent me to the shop at night and when I was on my way I met an old man who tried to kiss me but he did not succeed	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3207	There is very poor lighting in this area.Therefore at night it become very difficult for the girls to go out of their house.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3208	i was going back home ","suddenly a guy came to me and asked for an address then suddenly he started making indecent exposure	1	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3209	Boy was continuously following me till I reached the metro station. He had passed comments and also touched me by his hand.	1	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3210	Once I was traveling in DTC bus(No.711)"," this person was badly drunk amp has commented upon me. And also he made bad touch.	1	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3211	At night", was there ," b'coz of some work but there some guys near bus stop behaved in appropriately. i ignored and took bus	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3212	My friend and me were playing and the guard threw his phone no.in a chit and ran away and was again and again harassing her	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3213	i was going out with my friends to the snacks stalls outside my college and these guys started passing lewd comments on us.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3214	Commenting on a girl passing by in Rohini and staring while she was boarding metro.This incident took place in the evening.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3215	while crossing the bridge over to satya my friends and I encountered a creep pulling down his pants and touching his penis.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3216	Whenever we get out of the hostel for a walk","we face guys staring and commenting on all the girls passing by every evening.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3217	while i was travelling in the bus with my friend a man standing beside us was trying to touch my friend and comment on her.	1	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3218	I was going to school.A group of boys were commenting on me.They were just trying collide with me but i ran away from them.	1	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3219	This incident took place in the evening.Outside mall some boys were passing lewd comments on a girl who was standing alone.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3220	Two girls in the park were followed by a person who was irritating them by passing comments and touching them unnecessarily	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3221	a girl waiting for her bus to go to her college felt unsafe when an old man was ogling at her which made her uncomfortable.	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3222	a beautiful lady of about 2426 years was harassed by the group of boys by whistling", commenting," staring n taking pictures.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3223	I was standing at the station"," waiting for train to arrive and I notice a man brushed through me. I felt very uncomfortable	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3224	Some boys snatched the chain of a woman in the night after 11 p.m. amp after this incident"," it has become a common routine.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3225	Near Select City Walk","An autowala who passed by commented something and made a cheap expression.It happened in the evening.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3226	While I was walking on a road"," one man passed by me saying that he wanted to touch my breast. But he could not do anything.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3227	I was walking along agakhan walk and a begger sitting there said that I have small buttocks and I really felt uncomfortable	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3228	I was wearing shorts. Some group of boys passed me comment on the basis of what I wore. It was embarrassing and I felt bad.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3229	gang of bikers and some others on scootys rounding up in front of of a group of girls and blocking their exit from the area	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3230	I was just passing by the markets and there was a group of guys who were giving me absorb looks since I was wearing shorts.	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3231	when i was walking back to my home some boys were commenting on me. they were asking numbers and they were taking pictures.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3232	was about to board a train just when these two men passed across me and murmured something very humiliating for me to hear.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3233	when travelling by bus from Pepsi cola to Ratna park some boys were saying bad words amp gestures which was annoying to me.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3234	Girl was harassed and her family didnt support her"," she was a friend and we made a complaint to the nearest police station.	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3235	a guy threw hot water at me saying I was wearing short clothes"," I was so so scared and could not believe what just happened	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3236	This incident took place when i was going home from dwarka and i saw two boys commenting and taking pictures of some girls.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3237	I was travelling on the metro"," heading to college. A guy next to me tried to come closer and even gave some indecent looks.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3238	its almost everyday thing here"," i find this place unsafe and am always wid my brother or dad when i visit market or go out.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3239	My friends and I were on our way to watch a movie"," a few men were whistling and singing romantic and cheap songs behind us.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3240	I was sent to the shop and the boys sitting outside were calling me and when I refused to answer they started talking badly	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3241	Two girls were travelling in rickshaw and two boys on a bike were whistling and looking at them.It happened in the evening.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3242	My sister had been to botanical garden with her friends. There two guys proposed her and forced her to accept the proposal.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3243	My brother's friend slept over in our house and in the night","he tried to rape me but he didn't succeed because I was smart.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3244	While travelling in the metro"," a group of teenagers were clicking pictures which was making the girls really uncomfortable.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3245	a friend of mine was asked the way to a place by a stranger in car who suddenly asked her to look down and he was all naked	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3246	My friend was coming back from school in the night and some group of guys came out from no where and harassed her sexually.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3247	The girl was going for a party and waiting for an auto rickshaw and her pictures were being taken.It happened in the night.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3248	I was dragged by a stranger holding very hard and was forcing me to dance along with them in the office anniversary party.	1	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3249	a newspaper seller keeps on staring everytime i pass by on the street of pedder road near bank of india. i just ignore it.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3250	Standing at the bus stop a man was clicking pictures and also one day an auto wallah tried to take me to some wierd place.	1	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3251	Walking on the street will elicit unwanted attention"," in the form of sexual objectification through commentary and ogling.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3252	I was commented at by strange men near the ramjas red light after I got out of my college"," they were making sexual remarks	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3253	I was going back from my coaching to hme a group of 34 boys were standing and commented wildly asking me to accompany them	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3254	A girl was going home from school",some boys started harrassing her,touching her body,"she couldnt react cause she was alone	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3255	I was parking my scooty and as soon as I removed my helmet a man passing by commented and moved forward with a high speed.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3256	I was in the Toi market and one of the hawkers grabbed my waist and the rest were just laughing. I did nothing but clicked	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3257	When I returning my home I saw a man touching a women and she seemed quite uncomfortable with it and wasn't able to speak.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3258	as I was strawling I came across a group of men sitted along the road ","they all started calling and talking behind my back	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3259	I witnessed an incident when a chain was brutally snatched from an elderly lady . The incident took place during evening .	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3260	as I wa in a shop the boys standing outside the shop called onto a lady passing and when she came they kissed her by force	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3261	A guy stalked me from my home to bus stop for weeks . It's embarrassing how little our country is doing for women safety .	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3262	I was forcefully kidnapped and raped at gun point by 2 men in a moving car near DPS R.K. Puramafternoon between 2 amp 3 pm	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3263	a man was tranculized to oversleep then the wife was taken from the house by a group of armed men who raped and dumped her	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3264	my classmate likes following girls especially when we are going home and if we tell the teacher"," she does nothing about it	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3265	I stayed few nights at Kasaragod at a hotel which had otherwise ok staff but one of them asked for a sexual favor from me.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3266	A child working in a dhaba was being beaten up by his owner . This happened during afternoon when I was out having lunch .	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3267	a small girl aged 7 years was raped by an old man of 57 years early in the morning as the mother had left her in the house	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3268	I was sec11 Rohini driving my car .when I stoped in the red light two guys came on a bike and snatched a woman's jewellery	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3269	This incident took place in the morning.I was waiting for the bus at the terminal when a man whistled.This happened twice.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3270	once i was going to the market..alone..when few boys started catcalling","singing i ignored and started to walk even faster.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3271	one day as I was going home from my mothers place of work"," 2 men from nowhere appeared and stripped me naked then raped me	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3272	group of jobless people hang around in the lane and at night there are drunk people sitting and starring at all passerbys.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3273	It happened in the afternoon in the Erickshaw.It was very uncomfortable for me and people around me were oblivious to it.	1	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3274	Narrow bridge on the parel station"," heavy crowd trying to climb up/down provides a merry ground for stalkers/eve teasers.	1	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3275	The person following my sister and passed comments and tried to touch her.Dongri from Sabu Siddique hospital to Shalimar.	1	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3276	My friend was surrounded by 45 boys annd she could not escape in metro station. then few aunties intervene to rescue her","	1	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3277	Near indra vihar hostel guys give weird looks and pass bad comments about the girls passing by.It happens in the evening.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3278	My friend and I were at the bus stop when a old man flashed his genitals at us and walked off as though nothing happened.	1	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3279	I was outside a shop waiting for someone when a man came from behind and touched me"," commented something and walked away.	1	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3280	It was during evening when I was travelling in a group . Few people were constantly staring and commenting and stalking .	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3281	when i was going to home from school i saw some girls were teased by the boys and the girls were feeling so uncomfortable	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3282	While I was riding a scooty"," three boys on three different bikes were kind of teasing me and were trying to come near me.	1	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3283	When we went to Rajasthan for a trip. When we went in a desert there were boys who were trying to take pictures of girls.	0	1	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3284	I was going with my friend In metro in morning and there was a group of boys and they started commenting and touching me.	1	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3285	In a crowded street a man groped my chest twice and when he attempted the third time"," I punched his stomach and ran away.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3286	I was walking with my colleague when a man pulled me back and winked.  I was so mad at him that I just walked away angry.	0	1	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3287	two girls followed by a guy riding a bike he was paaing all cheesy comments ","he  followed them all the way to their homes	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3288	a man tried to touch me inappropriately on the road. i looked at him and said what and he didnt react to it. i went away.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3289	I was standing", amp boy was continuously watching," commenting. He also follows me till I reached metro stnevening 5.30 pm	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3290	When I was returning my home in bus. One man asked my name after that he commented quotyou look beautiful moti(fat girl).	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3291	I was standing in a queue of a ride","a boy standing behind me was taking advantage of pushing force and trying to grope me	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3292	this happened to my friend on the day of moharram near the mosque. a man", much older," tried to touch her inappropriately.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3293	When I went to Eye Hospital with my younger brother. On the way to the hospital"," people teased us by singing and teasing.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3294	While i was going out at evening few boys started to trouble me and even called me names and started commenting about me.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3295	happened to a school girl when was returning home from school on a crowded bus "," few men tried to touch her private parts	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3296	Girl was with her boyfriend and was continuously crying and the guy was hurting her hand badly.It happened in the evening	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3297	Me and my friend were out. My friend was wearing short skirt. It was crowed place there one of the guy touched her thigh.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3298	I was sent to the shop at night when I was about to reach home"," a man caught my hand and then tried to kiss me on my lips	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3299	I witnessed an incident during the evening hours . Few guys were trying to follow some girls and even commented upon them	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3300	While I was travelling during the afternoon hours "," guys called me quotmunniquot and various other comments came my way .	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3301	while coming to north campus in the metro"," I was being stared at by this man who then brushed his elbow against my breast	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3302	It happens everyday on the roads","buses trains.There are many such instances when the females have to face such incidents.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3303	a man tried groping me in sunday market. it was so crowded that i could not understand what is happening. it felt so bad.	0	0	1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3304	two boys on a bike commented and abused my friend while she was leaving the college and moving towards the metro station.	1	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3305	This incident took place in July","2013 in the evening.Two bikers tried to snatch chain from a woman but were unsuccessful.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3306	When I was returning from my school"," I was teased by a group of boys. i was scared and I came to home as fast as I could.	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3307	One afternoon a girl was passing by the metro station (azadpur) and a small boy came from behind and snatched her phone .	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3308	During evening ", I denied my parking place to some guy . On returning from the sports complex ," my windows were smashed .	0	0	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
